Categoria,Titulo,Precio,Featured,Link,ASIN
Beauty,La Roche-Posay Toleriane Hydrating Gentle Face Cleanser,14.99,FALSE,https://amzn.to/3ZDwUMt,B01N7T7JKJ
Beauty,SOL DE JANEIRO Rio Radiance Body Spray SPF 50,34.2,FALSE,https://amzn.to/4doeC4U,B0CVCBJFFC
Beauty,"Covergirl Clean Fresh Brow Filler Pomade, 700 Black Brown, Eyebrow Pencil, Ultra-Precise Tip, Creamy Formula, Highly Pigmented, Soft Matte Finish, Vegan Formula, 0.007oz",9.55,FALSE,https://amzn.to/4gH4cAa,B0CKDL54JR
Beauty,"MEIDU Black Hair Dye Shampoo, 500 milliliters (Pack of 1) | Women and Men | Gray Coverage | 30 Days | Natural Ingredients",22.99,FALSE,https://amzn.to/3TJHAVO,B0BZ45SNLR
Beauty,"L'Oreal Paris Makeup True Match Lumi Glotion, Natural Glow Enhancer, Illuminator Highlighter, Bronzing Drops For a Sun-Kissed Glow, 903 Medium",12.22,FALSE,https://amzn.to/3Y0njxN,B074PTZCNX
Beauty,La Roche-Posay Anthelios Light Fluid Facial Sunscreen SPF 60 | Lightweight Sunscreen For Face | Fluid Texture | Broad Spectrum SPF + Antioxidants | Oil Free & Oxybenzone Free | Travel Size 1.7 Fl. Oz.,32.99,FALSE,https://amzn.to/47Lyuhg,B002CML1XE
Beauty,COLOR WOW Dream Coat Supernatural Spray – Keep Your Hair Frizz-Free and Shiny No Matter the Weather with Award-Winning Anti-Humidity Treatment,28,FALSE,https://amzn.to/4dnJuT1,B073CWSQ51
Beauty,"OLLY Sleep Gummy, Occasional Sleep Support, 3 mg Melatonin, L-Theanine, Chamomile, Lemon Balm, Sleep Aid, Strawberry, 60 Count (Pack of 1)",14.62,FALSE,https://amzn.to/4emFeoa,B0BGJXFV4Y
Beauty,Weweya Sandals for Women and Men - Pillow Slippers - Double Buckle Adjustable Slides - EVA Flat Sandals,24.99,FALSE,https://amzn.to/3ZGTALO,B09XXFX4CQ
Beauty,"SASCHA FITNESS Hydrolyzed Whey Protein Isolate,100% Grass-Fed (2 Pounds, Cookies & Cream)",49.99,FALSE,https://amzn.to/3zNz954,B01KY5BQ3A
Home,"Miss Mouth's Messy Eater Stain Treater Spray - 4oz Stain Remover - Newborn & Baby Essentials - No Dry Cleaning Food, Grease, Coffee Off Laundry, Underwear, Fabric",9.99,FALSE,https://amzn.to/3N35ZC7,B01EIG6A4Q
Home,"Vichy LiftActiv B3 Niacinamide Serum, Discoloration Correcting Facial Serum with Peptides and Tranexamic Acid, Anti Aging Serum to Even Skin Tone, Fragrance Free",44.99,FALSE,https://amzn.to/3XY05IO,B09L5SNZ6N
Home,Vichy LiftActiv H.A. Wrinkle Corrector | Hyaluronic Acid Serum For Face | 1.5% Hyaluronic Acid + Vitamin C | Hydrating Serum | Plumping & Firming | Anti Aging Serum For Wrinkles & Fine Lines,44.99,FALSE,https://amzn.to/4gBtHTH,B08N7VY34R
Home,"SeoulCeuticals Korean Skin Care 20% Vitamin C Hyaluronic Acid Serum + CE Ferulic Acid - Potent Anti Aging, Anti Wrinkle Korean Beauty 1oz",17.98,FALSE,https://amzn.to/3XBgYHG,B072K1LNNY
Home,P.A.N. White Corn Meal – Pre-cooked Gluten Free and Kosher Flour for Arepas (2.2 lb/Pack of 1),3.23,FALSE,https://amzn.to/3zD9X1m,B085T26Y4S
Home,"Clear Rice Holder Dispenser, 22 Lbs Grain Storage Container with Measuring Cup, Cylinder Household Food Dispenser Bucket Kitchen Organization for Cereal, Oatmeal, Coffee Bean, Soybean, Corn",31.99,FALSE,https://amzn.to/3N0Gvp5,B0CLLS499F
Home,"Summer Sun Visor Hat - Women Adjustable Golf Cap with Retractable Brim, UV Protection Beach/Tennis Sport Hat",13.99,FALSE,https://amzn.to/3TLiea8,B08X5ZMXRB
Home,Hurom H101 Easy Clean Masticating Slow Juicer - Matte Silver,,FALSE,https://amzn.to/3ZIOwXd,B07NF9DWGG
Pets,"Earth Rated Hypoallergenic Dog Wipes, Cleaning and Odor-Controlling Grooming Wipes for Paws, Body, and Butt, Perfect for Puppy and Adult Dogs, Lavender Scented, 100 Count",9.99,FALSE,https://amzn.to/3BzrXdi,B07NHGX19F
Pets,"Diggin’ Your Dog Firm Up Pumpkin for Dogs & Cats, 100% Made in USA, Pumpkin Powder for Dogs, Digestive Support, Apple Pectin, Fiber, Healthy Stool, 4 oz",14.99,TRUE,https://amzn.to/4eoAfDy,B006CBD7UQ
Suplements,"Vital Proteins Chocolate Collagen Powder Supplement (Type I, III) for Skin Hair Nail Joint - Hydrolyzed Collagen - Dairy and Gluten Free - 27g per Serving - Chocolate Flavor, 26.8 oz Canister",43.34,TRUE,https://amzn.to/4gFQca3,B098RSGGGC
Suplements,"Nespresso Capsules Vertuo, Double Espresso Scuro, Dark Roast Espresso Coffee, 30-Count Coffee Pods, Brews 2.7oz",34.5,FALSE,https://amzn.to/3XGGQ5b,B07M8YV12G
Beauty,"Wet n Wild MegaGlo Blushlighter, Blendable Blush & Highlighter Set, Shimmery Metallic Finish, Flash Me",5.47,FALSE,https://amzn.to/3N6eIDu,B082YQ6JDQ
Beauty,"wet n wild MegaGlo Highlighting Powder, Highlighter Makeup, Shimmer Glow, Deep Gold Awesome Blossom",6.24,FALSE,https://amzn.to/4gHUTQu,B07JQ2QK1Y
Beauty,Jess Beauty Face Cleanser With Squalane,28,FALSE,https://amzn.to/4gCgjPb,B0BMDV7SFP
Beauty,JESS BEAUTY | Skin Care Shine Bright Serum Niacinamide Face Moisturizer Minimizes Pores | Skincare Face Cream 1 fl. oz,52,FALSE,https://amzn.to/3zO0Tqh,B0BKP2KK6P
Beauty,JESS BEAUTY | Face Moisturizer Gel Mask Post Workout with Niacinamide & Centella Asiatica | Skin Care Revitalizing 1.7 fl oz,48,FALSE,https://amzn.to/3zKN2B1,B0BLYPJZTL
Toys,"Award Winning Hape All-in-One Wooden Kid's Art Easel with Paper Roll and Accessories Cream, L: 18.9, W: 15.9, H: 41.8 inch",65.99,FALSE,https://amzn.to/3N5HFQ4,B00II021GK
Toys,"Marvel Avengers Hero Mask Multipack, Iron Man & Hulk Mask 2-Pack, Super Hero Roleplay Toys, Kids Halloween Costumes, Ages 5 and Up",19.99,FALSE,https://amzn.to/3ZGyQDV,B0CQD3VPR7
Toys,"American Girl WellieWishers 14.5-inch Ashlyn Doll Playset with Crisella The Dragon, Doll Dress and Accessories, and Storybook, for Ages 4+",99.99,FALSE,https://amzn.to/47MD9zq,B0CYHJVWRM
Toys,"LEGO DC Batwing: Batman vs. The Joker 76265 DC Super Hero Playset, Features 2 Minifigures and a Batwing Toy Based on DC’s Iconic 1989 Batman Movie, DC Birthday Gift for 8 Year Olds",37.99,FALSE,https://amzn.to/3Y5Gc2D,B0BSRF734H
Toys,Nintendo Switch (OLED model) with White Joy-Con,449.99,TRUE,https://amzn.to/4dJ5Ej7,B098RKWHHZ
Toys,"Fujifilm Instax Mini 12 Instant Camera Clay White + Fuji Film Value Pack (40 Sheets) + Shutter Accessories Bundle, Incl. Compatible Carrying Case, Quicksand Beads Photo Album 64 Pockets",139.95,FALSE,https://amzn.to/4gLzZjy,B08WYX2BPV
Toys,Magnetic Tiles Toddler Toys Games Sensory Toys for Toddlers 3-4 Magnetic Blocks for Kids Age 3-5 4-8 Outdoor Toddler Activities Preschool Building Learning Toys,24.99,FALSE,https://amzn.to/4eLDcxE,B09LY1LNGJ
Toys,"Gemmicc Magnetic Tiles, Deluxe 136 PCS Building Blocks Magnet Toys for Kids,3D Magnet Puzzles Stacking Blocks for Boys Girls,Huge Set with 2 Cars",47.49,FALSE,https://amzn.to/3Y573fe,B0BLBXY6JV
Beauty,"MAC M.A.C. Studio Fix Powder Plus Foundation, NC30, 0.52 Ounce (0773602010509)",34.99,FALSE,https://amzn.to/4gJX5qP,B0017QK4DE
Beauty,"Maybelline Instant Age Rewind Eraser Dark Circles Treatment Multi-Use Concealer, 130, 1 Count (Packaging May Vary)",10.99,TRUE,https://amzn.to/4gP1t84,B004Y9GV60
Beauty,Too Faced Born This Way Super Coverage Multi-Use Concealer,36,FALSE,https://amzn.to/3TUsnBE,B0B8Y7NMLZ